age,weight,height,injury_type,goal,exercise
65,74,169,upper_back,rehab,Overhead Arm Hold
56,78,168,hips,rehab,Half-Kneeling Hip Flexor Stretch
67,75,154,upper_back,flexibility,Reverse Tabletop Pose
79,83,171,none,rehab,Reverse Tabletop Pose
55,97,147,upper_back,flexibility,Overhead Arm Hold
55,72,157,none,strength,Standing quad stretch (L/R)
79,95,141,upper_back,flexibility,Reverse Tabletop Pose
68,72,183,shoulder,strength,Overhead Arm Hold
52,71,162,hips,flexibility,Bird Dog Hold
65,92,190,none,strength,Overhead Arm Hold
52,94,174,upper_back,rehab,Overhead Arm Hold
52,93,170,legs,flexibility,Standing calf raise
61,66,158,core,rehab,Reverse Tabletop Pose
32,76,152,none,rehab,Bird Dog Hold
35,92,171,core,strength,Side plank
50,83,164,hips,strength,Bird Dog Hold
44,69,149,lower_back,strength,Plank
62,88,147,legs,strength,Straight leg raises (L/R)
46,73,153,lower_back,flexibility,Dead Bug Hold
39,104,186,upper_back,rehab,Overhead Arm Hold
78,101,190,none,strength,Standing quad stretch (L/R)
55,90,167,shoulder,rehab,Reverse Tabletop Pose
59,99,166,upper_back,flexibility,Reverse Tabletop Pose
39,83,161,upper_back,strength,Reverse Tabletop Pose
51,92,154,lower_back,flexibility,Bird Dog Hold
59,100,181,upper_back,flexibility,Plank
42,85,186,legs,rehab,Straight leg raises (L/R)
63,79,154,shoulder,rehab,Reverse Tabletop Pose
50,61,164,lower_back,flexibility,Bridge pose hold
54,81,159,hips,flexibility,Butterfly stretch
50,92,160,core,strength,Hollow Body Hold
83,94,178,upper_back,rehab,Overhead Arm Hold
58,88,149,core,flexibility,Side plank
44,75,170,none,flexibility,Overhead Arm Hold
69,57,173,lower_back,rehab,Bird Dog Hold
42,76,163,core,flexibility,Bird Dog Hold
61,78,175,upper_back,strength,Overhead Arm Hold
32,78,166,none,flexibility,Plank
40,90,179,upper_back,flexibility,Reverse Tabletop Pose
61,107,147,lower_back,rehab,Bird Dog Hold
68,84,160,legs,rehab,Standing quad stretch (L/R)
60,79,164,hips,strength,Butterfly stretch
56,79,133,upper_back,flexibility,Plank
54,84,152,legs,strength,Straight leg raises (L/R)
38,72,155,upper_back,flexibility,Overhead Arm Hold
48,84,176,upper_back,flexibility,Plank
52,88,156,legs,rehab,Straight leg raises (L/R)
72,85,155,upper_back,strength,Overhead Arm Hold
63,88,174,hips,flexibility,Bird Dog Hold
34,87,146,core,flexibility,Reverse Tabletop Pose
62,60,140,lower_back,rehab,Bridge pose hold
53,90,160,none,rehab,Bird Dog Hold
49,74,148,none,rehab,Straight leg raises (L/R)
66,68,148,core,strength,Bridge pose hold
72,68,171,legs,strength,Standing quad stretch (L/R)
71,87,175,core,flexibility,Dead Bug Hold
47,79,174,shoulder,strength,Plank
54,61,177,none,rehab,Calf stretch
62,88,179,upper_back,rehab,Overhead Arm Hold
71,64,140,lower_back,strength,Bird Dog Hold
52,84,170,hips,flexibility,Half-Kneeling Hip Flexor Stretch
55,85,158,hips,flexibility,Butterfly stretch
43,93,156,shoulder,flexibility,Reverse Tabletop Pose
42,104,171,core,flexibility,Side plank
69,65,144,hips,rehab,Butterfly stretch
76,81,144,core,strength,Bird Dog Hold
57,79,172,lower_back,rehab,Bird Dog Hold
72,87,170,shoulder,flexibility,Reverse Tabletop Pose
63,85,166,core,flexibility,Bridge pose hold
49,78,154,legs,rehab,Standing quad stretch (L/R)
63,76,173,core,flexibility,Bird Dog Hold
79,68,172,core,rehab,Bird Dog Hold
58,94,165,shoulder,rehab,Overhead Arm Hold
79,88,151,legs,rehab,Standing quad stretch (L/R)
23,93,160,hips,rehab,Standing quad stretch (L/R)
69,78,174,none,flexibility,Dead Bug Hold
59,74,180,lower_back,flexibility,Bridge pose hold
54,69,161,core,flexibility,Reverse Tabletop Pose
59,86,162,upper_back,strength,Overhead Arm Hold
31,69,163,shoulder,rehab,Overhead Arm Hold
55,105,168,hips,strength,Butterfly stretch
63,66,158,core,rehab,Reverse Tabletop Pose
78,85,131,lower_back,rehab,Bird Dog Hold
51,102,178,upper_back,flexibility,Overhead Arm Hold
47,89,185,shoulder,rehab,Reverse Tabletop Pose
51,84,157,lower_back,strength,Bridge pose hold
70,70,152,hips,flexibility,Half-Kneeling Hip Flexor Stretch
62,65,163,none,flexibility,Plank
51,92,162,core,rehab,Bridge pose hold
65,101,176,core,flexibility,Bridge pose hold
59,77,165,core,strength,Reverse Tabletop Pose
71,68,155,shoulder,rehab,Reverse Tabletop Pose
49,51,149,core,strength,Hollow Body Hold
54,70,175,shoulder,flexibility,Side plank
53,81,171,core,strength,Bird Dog Hold
38,102,177,legs,strength,Standing calf raise
62,90,153,none,flexibility,Straight leg raises (L/R)
62,86,186,core,rehab,Bird Dog Hold
58,77,144,legs,rehab,Standing quad stretch (L/R)
55,75,173,shoulder,flexibility,Plank
39,100,142,lower_back,rehab,Bird Dog Hold
52,85,155,hips,strength,Standing quad stretch (L/R)
53,56,183,upper_back,flexibility,Reverse Tabletop Pose
47,74,174,legs,flexibility,Straight leg raises (L/R)
56,71,158,hips,rehab,Butterfly stretch
63,75,158,core,rehab,Reverse Tabletop Pose
83,89,166,shoulder,flexibility,Plank
60,81,170,hips,flexibility,Half-Kneeling Hip Flexor Stretch
61,81,179,hips,flexibility,Half-Kneeling Hip Flexor Stretch
57,98,159,none,flexibility,Bird Dog Hold
32,73,146,none,strength,Side plank
58,105,166,core,strength,Reverse Tabletop Pose
59,74,159,hips,flexibility,Half-Kneeling Hip Flexor Stretch
91,83,149,shoulder,flexibility,Plank
55,78,168,none,flexibility,Reverse Tabletop Pose
62,84,162,legs,strength,Standing quad stretch (L/R)
